#Monitoring-Site	Remote-Site	?	Oct2014	Sep2014	Aug2014	Jul2014	Jun2014	May2014	Apr2014	Mar2014	Feb2014	Jan2014	Dec2013	Nov2013	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.NCP.EDU.N3	PK.PINGERLHR-GCU.PERN.EDU	?M	14.244	8.568	8.084	8.063	11.332	37.319	28.654	7.562	7.303	28.554	52.860	52.925	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerlhr-gcu.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERLHR-PU.PERN.EDU	?M	14.119	8.456	7.855	8.051	10.038	41.905	33.374	7.369	7.245	31.551	74.297	49.243	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerlhr-pu.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERQTA.PERN.EDU.N2	?M	31.397	30.708	29.799	28.733	30.273	30.962	33.826	27.478	30.058	30.202	30.193	28.208	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerqta.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.SAU.SEECS.EDU	?M	32.948	33.255	30.241	31.918	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	sau.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.SEECS.EDU.N2	?M	2.514	2.539	4.138	2.659	2.536	2.838	.	2.121	2.199	2.366	2.406	2.477	pinger-ncp.ncp.edu.pk	PK	South_Asia	monitor.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.SEECS.EDU.N6	?M	3.844	4.107	3.698	4.202	5.864	29.959	25.256	4.263	5.039	4.126	3.953	4.286	pinger-ncp.ncp.edu.pk	PK	South_Asia	maggie1.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.SEECS.EDU.N7	?M	3.816	3.997	3.671	4.338	7.681	42.680	24.116	5.470	6.336	6.406	5.137	6.006	pinger-ncp.ncp.edu.pk	PK	South_Asia	maggie2.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.SIRSYED.SSUET.EDU.N1	?r	.	.	.	.	.	.	.	.	34.854	32.918	32.446	33.989	pinger-ncp.ncp.edu.pk	PK	South_Asia	sirsyed.ssuet.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.UET.EDU.N1	?r	14.672	8.752	8.299	8.405	8.293	9.409	8.986	8.018	7.963	8.955	7.986	7.926	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.uet.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.UET.EDU.N2	?M	14.633	9.015	8.427	8.415	8.387	9.750	10.549	7.919	7.734	9.360	8.073	7.927	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.uet.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.UOB.EDU.N3	?M	33.157	32.544	31.254	30.756	31.222	33.220	34.610	31.388	33.907	30.641	29.065	30.585	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.uob.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.UPESH.EDU.N2	?M	5.126	6.647	6.092	5.518	5.861	5.475	4.959	5.000	5.141	5.542	5.138	5.831	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.upesh.edu.pk	PK	South_Asia
